Sequence     Count
------------------
lls             65
cks             64
nts             54
lly             52
ngs             52
sts             52
nks             50
nds             45
rks             44
tch             42
ffs             41
nny             41
tty             39
mps             38
ppy             37
ddy             35
rds             34
lts             33
bby             32
ggy             32
rns             31
rts             31
cky             31
sty             31
rry             30
rls             30
nch             29
mmy             26
nky             25
ndy             23
rms             23
sks             23
ssy             23
ths             23
nty             22
lks             21
shy             21
tts             20
rrs             20
sky             20
scr             20
fts             19
lds             19
str             19
rth             18
rps             18
ngy             18
dgy             18
mpy             18
ght             17
ffy             17
rdy             16
rky             16
wns             16
wls             15
zzy             15
mbs             15
spr             14
rbs             14
lch             14
lky             13
cht             13
rfs             13
ggs             13
rty             13
thy             13
rly             13
rst             13
rch             12
wks             12
fty             12
lps             12
chy             12
lty             12
nns             11
vvy             11
hyl             11
sps             11
chs             10
ghs             10
lms             10
yly             10
lfs             10
psy             10
yth             10
thr             10
ply              9
phs              9
hym              9
try              9
typ              9
yls              8
tsy              8
rby              8
rny              8
mph              8
ynd              8
mpt              8
spy              8
wts              8
lys              8
sch              8
pyr              8
fly              7
gry              7
tly              7
dly              7
tyl              7
rcs              7
mby              7
wps              7
yst              7
ncy              7
cts              7
nsy              7
wny              7
phy              7
syn              7
kyl              6
lph              6
ntr              6
syl              6
ccy              6
rmy              6
wds              6
wdy              6
gly              6
lyp              6
hrs              6
wth              6
ryp              6
dry              6
lyt              6
rsh              6
sht              6
gyr              6
xyl              6
hyp              6
tyr              6
shr              6
cry              5
ryl              5
lth              5
mbr              5
zym              5
lmy              5
bbs              5
rsy              5
rvy              5
wry              5
cym              5
wly              5
rgy              5
wsy              5
ymp              5
gyp              5
pps              5
yss              4
lyl              4
khs              4
ldy              4
rgs              4
kky              4
rtz              4
rnt              4
hyn              4
cyc              4
ycl              4
mns              4
ynt              4
dst              4
wfs              4
dyk              4
mys              4
tym              4
nly              4
lpy              4
yph              4
ryk              4
gyn              4
lsh              4
hyd              4
ydr              4
dyl              4
wnd              4
nth              4
syc              4
pyx              4
dds              4
rhy              4
sly              4
spl              4
syb              4
rgh              3
bys              3
cch              3
cyl              3
ggr              3
mpl              3
ncl              3
ngl              3
pts              3
zyg              3
ncs              3
rfy              3
wrs              3
hls              3
ypt              3
rcy              3
rpy              3
rvs              3
xys              3
cty              3
dyn              3
pty              3
rzy              3
wky              3
sms              3
rrl              3
ypp              3
gyv              3
wyl              3
msh              3
kyr              3
kyt              3
lyc              3
ync              3
myn              3
myt              3
xts              3
nyl              3
shm              3
pry              3
ymy              3
rym              3
skr              3
syp              3
syr              3
tyn              3
wyt              3
ddl              2
dyt              2
yts              2
kyd              2
mbl              2
myl              2
ndr              2
ngr              2
nkl              2
ppl              2
ndh              2
wty              2
lby              2
lgy              2
bly              2
xty              2
yfs              2
mfs              2
byd              2
byk              2
byl              2
byr              2
nct              2
mms              2
ryn              2
cyt              2
ych              2
mly              2
scs              2
tzy              2
nsh              2
dzh              2
myd              2
yds              2
lsy              2
yby              2
hns              2
fry              2
bsy              2
fyk              2
ytt              2
ghy              2
